Vessel_Name,Flag,Callsign,Vessel_Type,AIS_Type,Year_Built,GT,DWT,Size_m
MOL COURAGE,Japan,7JWH,Container Ship,Cargo ship (HAZ-A),2008,87013,87013,316 / 46
LORY,Comoros,D6A2574,Bulk Carrier,Cargo ship,2002,86848,86848,289 / 45
RIDGEBURY CAPTAIN DR,Marshall Islands,V7FF4,Crude Oil Tanker,Tanker,2007,86952,86952,285 / 50
ONE COMMITMENT,Japan,7JXG,Container Ship,Cargo ship (HAZ-A),2013,87022,87022,316 / 46
ALAMEDA,Malta,9HDG8,Bulk Carrier,Cargo ship,2001,87063,87063,289 / 45
MILTIADIS M II,Liberia,A8HK8,Crude Oil Tanker,Tanker,2006,87146,87146,281 / 50
ONE CONTRIBUTION,Japan,7KAD,Container Ship,Cargo ship (HAZ-A),2014,87023,87023,316 / 46
VELLOS,Greece,-,Bulk Carrier,-,2000,86201,86201,289 / 45
JOHN,St Kitts & Nevis,-,Bulk Carrier,-,2001,86201,86201,289 / 45
NORDIC VEGA,Bahamas,C6XZ5,Crude Oil Tanker,Tanker,2010,86266,86266,274 / 48
NIEUW AMSTERDAM,Netherlands,PBWQ,Passenger (Cruise) Ship,Passenger ship,2010,86273,86273,285 / 32
PUTERI FIRUS,Malaysia,-,LNG Tanker,-,1997,86205,86205,274 / 43
EURODAM,Netherlands,PHOS,Passenger (Cruise) Ship,Passenger ship,2008,86273,86273,285 / 32
CAPE NATALIE,Cyprus,5BWU3,Bulk Carrier,Cargo ship,2000,86210,86210,289 / 45
ONE COMPETENCE,Japan,7JWL,Container Ship,Cargo ship (HAZ-A),2008,87035,87035,316 / 46
SANTA URSULA,Denmark,OXBD2,Container Ship,Cargo ship (HAZ-A),2012,86601,86601,300 / 43
SANTA BARBARA,Denmark,OXCH2,Container Ship,Cargo ship (HAZ-A),2012,86601,86601,300 / 43
LADY,Palau,-,Bulk Carrier,-,1999,86600,86600,289 / 45
ETERNITY,Niue,-,Bulk Carrier,-,1999,86600,86600,289 / 45
SEROJA ENAM,Panama,3FFV6,Container Ship,Cargo ship (HAZ-A),2011,86679,86679,316 / 46
BELLA SCHULTE,Comoros,-,Bulk Carrier,-,2000,85906,85906,289 / 45
RADIANCE,Comoros,-,Bulk Carrier,-,2001,85906,85906,289 / 45
SANTA INES,Denmark,OXCE2,Container Ship,Cargo ship (HAZ-A),2012,86601,86601,300 / 43
GIANT,St Kitts & Nevis,-,Bulk Carrier,-,2000,85868,85868,288 / 45
SHINYO FORTUNE,Liberia,D5OO2,Bulk Carrier,Cargo ship,2002,85906,85906,289 / 45
STAR DESPOINA,Marshall Islands,-,Bulk Carrier,-,1999,85906,85906,289 / 45
NEW ATHENS,Panama,3FML9,Bulk Carrier,Cargo ship,1999,85914,85914,288 / 45
CARNIVAL SPIRIT,Malta,9HA3097,Passenger (Cruise) Ship,Passenger ship,2001,85920,85920,293 / 39
BERGE APO,United Kingdom,2GWM8,Bulk Carrier,Cargo ship,2000,85888,85888,287 / 45
EXEMPLAR,Comoros,-,Bulk Carrier,-,2001,85906,85906,289 / 45
STAR MEGA,Marshall Islands,-,Bulk Carrier,-,1994,86026,86026,278 / 44
STAR ELEONORA,Marshall Islands,-,Bulk Carrier,-,2001,85957,85957,288 / 44
ORFEUS,Comoros,D6A2701,Bulk Carrier,Cargo ship,2002,85957,85957,288 / 44
CARNIVAL PRIDE,Panama,H3VU,Passenger (Cruise) Ship,Passenger ship,2001,86071,86071,293 / 39
CHOKANG SUNRISE,Panama,-,Bulk Carrier,-,1995,86080,86080,288 / 45
CARNIVAL MIRACLE,Panama,H3VS,Passenger (Cruise) Ship,Passenger ship,2004,85942,85942,293 / 39
GINGO,Cyprus,5BYW4,Bulk Carrier,Cargo ship,2000,86192,86192,289 / 45
CARNIVAL LEGEND,Malta,9HA3667,Passenger (Cruise) Ship,Passenger ship,2002,85942,85942,293 / 39
TREPID,Palau,-,Offshore Support Vessel,-,1998,86074,86074,245 / 45
MOL CELEBRATION,Bahamas,C6WW7,Container Ship,Cargo ship (HAZ-D),2008,86692,86692,316 / 46
MOL CREATION,Bahamas,C6WD9,Container Ship,Cargo ship (HAZ-A),2007,86692,86692,316 / 46
SEROJA LIMA,Panama,3FTU,Container Ship,Cargo ship,2011,86682,86682,316 / 46
MOL CHARISMA,Bahamas,C6WN8,Container Ship,Cargo ship,2007,86692,86692,316 / 46
JENS WARRIOR,Liberia,-,Bulk Carrier,-,1999,86192,86192,289 / 45
ORE GUAIBA,Singapore,-,Bulk Carrier,-,1999,86192,86192,289 / 45
PITSA D,Liberia,D5WM3,Bulk Carrier,Cargo ship,2002,86734,86734,289 / 45
VLADIMIR TIKHONOV,Liberia,A8IA6,Crude Oil Tanker,Tanker,2006,87146,87146,281 / 50
PASCHALIS D,Liberia,D5WV4,Bulk Carrier,Cargo ship,2002,86734,86734,289 / 45
ALEKSEY KOSYGIN,Liberia,A8LY6,Crude Oil Tanker,Tanker,2007,87146,87146,281 / 50
BERGE AORAKI,United Kingdom,2GBE5,Bulk Carrier,Cargo ship,2000,87322,87322,289 / 45
AIGAION,Greece,SYMC,Bulk Carrier,Cargo ship,2004,87349,87349,289 / 45
BRILLIANCE,Comoros,-,Bulk Carrier,-,2001,87363,87363,289 / 45
